date,open,high,low,close,volume,adjusted
17/10/2018,2811.669922,2816.939941,2781.810059,2809.209961,3347090000,2809.209961
18/10/2018,2802,2806.040039,2755.179932,2768.780029,3639300000,2768.780029
19/10/2018,2775.659912,2797.77002,2760.27002,2767.780029,3593940000,2767.780029
22/10/2018,2773.939941,2778.939941,2749.219971,2755.879883,3331270000,2755.879883
23/10/2018,2721.030029,2753.590088,2691.429932,2740.689941,4373710000,2740.689941
24/10/2018,2737.870117,2742.590088,2651.889893,2656.100098,4738670000,2656.100098
25/10/2018,2674.879883,2722.699951,2667.840088,2705.570068,4663930000,2705.570068
26/10/2018,2667.860107,2692.379883,2628.159912,2658.689941,4804330000,2658.689941
29/10/2018,2682.649902,2706.850098,2603.540039,2641.25,4701260000,2641.25
30/10/2018,2640.679932,2685.429932,2635.340088,2682.629883,5125600000,2682.629883
31/10/2018,2705.600098,2736.689941,2705.600098,2711.73999,5133380000,2711.73999
01/11/2018,2717.580078,2741.669922,2708.850098,2740.370117,4730250000,2740.370117
02/11/2018,2745.449951,2756.550049,2700.439941,2723.060059,4261230000,2723.060059
05/11/2018,2726.370117,2744.27002,2717.939941,2738.310059,3650910000,2738.310059
06/11/2018,2738.399902,2756.820068,2737.080078,2755.449951,3543800000,2755.449951
07/11/2018,2774.129883,2815.149902,2774.129883,2813.889893,3929080000,2813.889893
08/11/2018,2806.379883,2814.75,2794.98999,2806.830078,3673550000,2806.830078
09/11/2018,2794.100098,2794.100098,2764.23999,2781.01001,4029030000,2781.01001
12/11/2018,2773.929932,2775.98999,2722,2726.219971,3701570000,2726.219971
13/11/2018,2730.050049,2754.600098,2714.97998,2722.179932,4112820000,2722.179932
14/11/2018,2737.899902,2746.800049,2685.75,2701.580078,4449060000,2701.580078
15/11/2018,2693.52002,2735.379883,2670.75,2730.199951,4204960000,2730.199951
16/11/2018,2718.540039,2746.75,2712.159912,2736.27002,3996970000,2736.27002
19/11/2018,2730.73999,2733.159912,2681.090088,2690.72998,3806940000,2690.72998
20/11/2018,2654.600098,2669.439941,2631.52002,2641.889893,4370820000,2641.889893
21/11/2018,2657.73999,2670.72998,2649.820068,2649.929932,3237400000,2649.929932
23/11/2018,2633.360107,2647.550049,2631.090088,2632.560059,1651680000,2632.560059
26/11/2018,2649.969971,2674.350098,2649.969971,2673.449951,3523520000,2673.449951
27/11/2018,2663.75,2682.530029,2655.889893,2682.169922,3494380000,2682.169922
28/11/2018,2691.449951,2744,2684.379883,2743.790039,3984540000,2743.790039
29/11/2018,2736.969971,2753.75,2722.939941,2737.800049,3599200000,2737.800049
30/11/2018,2737.76001,2760.879883,2732.76001,2760.169922,4668310000,2760.169922
03/12/2018,2790.5,2800.179932,2773.379883,2790.370117,4221580000,2790.370117
04/12/2018,2782.429932,2785.929932,2697.179932,2700.060059,4515710000,2700.060059
06/12/2018,2663.51001,2696.149902,2621.530029,2695.949951,5180430000,2695.949951
07/12/2018,2691.26001,2708.540039,2623.139893,2633.080078,4242240000,2633.080078
10/12/2018,2630.860107,2647.51001,2583.22998,2637.719971,4162880000,2637.719971
11/12/2018,2664.439941,2674.350098,2621.300049,2636.780029,3963440000,2636.780029
12/12/2018,2658.22998,2685.439941,2650.26001,2651.070068,4029300000,2651.070068
13/12/2018,2658.699951,2670.189941,2637.27002,2650.540039,3978340000,2650.540039
14/12/2018,2629.679932,2635.070068,2593.840088,2599.949951,4064370000,2599.949951
17/12/2018,2590.75,2601.129883,2530.540039,2545.939941,4661420000,2545.939941
18/12/2018,2559.899902,2573.98999,2528.709961,2546.159912,4519190000,2546.159912
19/12/2018,2547.050049,2585.290039,2488.959961,2506.959961,5152830000,2506.959961
20/12/2018,2496.77002,2509.629883,2441.179932,2467.419922,5619780000,2467.419922
21/12/2018,2465.379883,2504.409912,2408.550049,2416.620117,7657890000,2416.620117
24/12/2018,2400.560059,2410.340088,2351.100098,2351.100098,2613670000,2351.100098
26/12/2018,2363.120117,2467.76001,2346.580078,2467.699951,4249740000,2467.699951
27/12/2018,2442.5,2489.100098,2397.939941,2488.830078,4139010000,2488.830078
28/12/2018,2498.77002,2520.27002,2472.889893,2485.73999,3728440000,2485.73999
31/12/2018,2498.939941,2509.23999,2482.820068,2506.850098,3461920000,2506.850098
02/01/2019,2476.959961,2519.48999,2467.469971,2510.030029,3733160000,2510.030029
03/01/2019,2491.919922,2493.139893,2443.959961,2447.889893,3858830000,2447.889893
04/01/2019,2474.330078,2538.070068,2474.330078,2531.939941,4234140000,2531.939941
07/01/2019,2535.610107,2566.159912,2524.560059,2549.689941,4133120000,2549.689941
08/01/2019,2568.110107,2579.820068,2547.560059,2574.409912,4120060000,2574.409912
09/01/2019,2580,2595.320068,2568.889893,2584.959961,4088740000,2584.959961
10/01/2019,2573.51001,2597.820068,2562.02002,2596.639893,3721300000,2596.639893
11/01/2019,2588.110107,2596.27002,2577.399902,2596.26001,3447460000,2596.26001
14/01/2019,2580.310059,2589.320068,2570.409912,2582.610107,3689370000,2582.610107
15/01/2019,2585.100098,2613.080078,2585.100098,2610.300049,3601180000,2610.300049
16/01/2019,2614.75,2625.76001,2612.679932,2616.100098,3882180000,2616.100098
17/01/2019,2609.280029,2645.060059,2606.360107,2635.959961,3802410000,2635.959961
18/01/2019,2651.27002,2675.469971,2647.580078,2670.709961,4009010000,2670.709961
22/01/2019,2657.879883,2657.879883,2617.27002,2632.899902,3923950000,2632.899902
23/01/2019,2643.47998,2653.189941,2612.860107,2638.699951,3358770000,2638.699951
24/01/2019,2638.840088,2647.199951,2627.01001,2642.330078,3449230000,2642.330078
25/01/2019,2657.439941,2672.379883,2657.330078,2664.76001,3.82E+09,2664.76001
28/01/2019,2644.969971,2644.969971,2624.060059,2643.850098,3630820000,2643.850098
29/01/2019,2644.889893,2650.929932,2631.050049,2640,3518070000,2640
30/01/2019,2653.620117,2690.439941,2648.340088,2681.050049,3883270000,2681.050049
31/01/2019,2685.48999,2708.949951,2678.649902,2704.100098,4953800000,2704.100098
01/02/2019,2702.320068,2716.659912,2696.879883,2706.530029,3782490000,2706.530029
04/02/2019,2706.48999,2724.98999,2698.75,2724.870117,3369450000,2724.870117
05/02/2019,2728.340088,2738.97998,2724.030029,2737.699951,3597620000,2737.699951
06/02/2019,2735.050049,2738.080078,2724.149902,2731.610107,3486590000,2731.610107
07/02/2019,2717.530029,2719.320068,2687.26001,2706.050049,4114040000,2706.050049
08/02/2019,2692.360107,2708.070068,2681.830078,2707.879883,3649510000,2707.879883
11/02/2019,2712.399902,2718.050049,2703.790039,2709.800049,3395330000,2709.800049
12/02/2019,2722.610107,2748.189941,2722.610107,2744.72998,3843020000,2744.72998
13/02/2019,2750.300049,2761.850098,2748.629883,2753.030029,3684910000,2753.030029
14/02/2019,2743.5,2757.899902,2731.22998,2745.72998,3845390000,2745.72998
15/02/2019,2760.23999,2775.659912,2760.23999,2775.600098,3648680000,2775.600098
19/02/2019,2769.280029,2787.330078,2767.290039,2779.76001,3535270000,2779.76001
20/02/2019,2779.050049,2789.879883,2774.060059,2784.699951,3904830000,2784.699951
21/02/2019,2780.23999,2781.580078,2764.550049,2774.879883,3598260000,2774.879883
22/02/2019,2780.669922,2794.199951,2779.110107,2792.669922,3429350000,2792.669922
25/02/2019,2804.350098,2813.48999,2794.98999,2796.110107,3860260000,2796.110107
26/02/2019,2792.360107,2803.120117,2789.469971,2793.899902,3676200000,2793.899902
27/02/2019,2787.5,2795.76001,2775.129883,2792.379883,3771790000,2792.379883
28/02/2019,2788.110107,2793.72998,2782.51001,2784.48999,4445780000,2784.48999
01/03/2019,2798.219971,2808.02002,2787.379883,2803.689941,3994950000,2803.689941
04/03/2019,2814.370117,2816.879883,2767.659912,2792.810059,3949730000,2792.810059
05/03/2019,2794.409912,2796.439941,2782.969971,2789.649902,3631380000,2789.649902
06/03/2019,2790.27002,2790.27002,2768.689941,2771.449951,3800180000,2771.449951
07/03/2019,2766.530029,2767.25,2739.090088,2748.929932,3932150000,2748.929932
08/03/2019,2730.790039,2744.129883,2722.27002,2743.070068,3424300000,2743.070068
11/03/2019,2747.610107,2784,2747.610107,2783.300049,3764850000,2783.300049
12/03/2019,2787.340088,2798.320068,2786.72998,2791.52002,3432340000,2791.52002
13/03/2019,2799.780029,2821.23999,2799.780029,2810.919922,3782250000,2810.919922
14/03/2019,2810.379883,2815,2803.459961,2808.47998,3505670000,2808.47998
15/03/2019,2810.790039,2830.72998,2810.790039,2822.47998,5969780000,2822.47998
18/03/2019,2822.610107,2835.409912,2821.98999,2832.939941,3620770000,2832.939941
19/03/2019,2840.76001,2852.419922,2823.27002,2832.570068,3650740000,2832.570068
20/03/2019,2831.340088,2843.540039,2812.429932,2824.22998,3779160000,2824.22998
21/03/2019,2819.719971,2860.310059,2817.379883,2854.879883,3612620000,2854.879883
22/03/2019,2844.52002,2846.159912,2800.469971,2800.709961,4253730000,2800.709961
25/03/2019,2796.01001,2809.790039,2785.02002,2798.360107,3406110000,2798.360107
26/03/2019,2812.659912,2829.870117,2803.98999,2818.459961,3288570000,2818.459961
27/03/2019,2819.719971,2825.560059,2787.719971,2805.370117,3422400000,2805.370117
28/03/2019,2809.399902,2819.709961,2798.77002,2815.439941,3185460000,2815.439941
29/03/2019,2828.27002,2836.030029,2819.22998,2834.399902,3752520000,2834.399902
01/04/2019,2848.629883,2869.399902,2848.629883,2867.189941,3560090000,2867.189941
